id,user_id,trial_number,alpha_value,time_taken,video_rankings,category
26,16,0,0.0,64,"{'sk9xYje9XAQ': {'user_rating': '2', 'predicted_rating': '1'}, 'TmM9XAIKa-Y': {'user_rating': '2', 'predicted_rating': '2'}, 'GE5C_So1y00': {'user_rating': '5', 'predicted_rating': '3'}, 'tCJZiHEpHbg': {'user_rating': '4', 'predicted_rating': '4'}, 'm2czL08d3lY': {'user_rating': '1', 'predicted_rating': '5'}}",Loops
27,16,1,0.0,51,"{'P6ivQ3QRq0I': {'user_rating': '5', 'predicted_rating': '1'}, 'yvWnj_HfG6s': {'user_rating': '5', 'predicted_rating': '2'}, 'XHgC6Md8L9o': {'user_rating': '2', 'predicted_rating': '3'}, 'GE5C_So1y00': {'user_rating': '2', 'predicted_rating': '4'}, '-tGUQGU9Gl4': {'user_rating': '5', 'predicted_rating': '5'}}",Conditional
28,16,2,0.0,70,"{'Gbz3Ao2xq_4': {'user_rating': '5', 'predicted_rating': '1'}, 'L3-q2GxAqZA': {'user_rating': '5', 'predicted_rating': '2'}, 'n-23Y4IygxM': {'user_rating': '2', 'predicted_rating': '3'}, 'xzjZy-dHHLw': {'user_rating': '3', 'predicted_rating': '4'}, 'qMePCtjeqB4': {'user_rating': '3', 'predicted_rating': '5'}}",Array
29,16,3,0.25,40,"{'TmM9XAIKa-Y': {'user_rating': '1', 'predicted_rating': '1.75'}, 'sk9xYje9XAQ': {'user_rating': '5', 'predicted_rating': '2.0'}, 'GE5C_So1y00': {'user_rating': '3', 'predicted_rating': '3.0'}, 'tCJZiHEpHbg': {'user_rating': '4', 'predicted_rating': '3.5'}, 'm2czL08d3lY': {'user_rating': '1', 'predicted_rating': '4.75'}}",Loops
30,16,4,0.25,28,"{'P6ivQ3QRq0I': {'user_rating': '5', 'predicted_rating': '1.75'}, 'XHgC6Md8L9o': {'user_rating': '1', 'predicted_rating': '2.75'}, 'yvWnj_HfG6s': {'user_rating': '5', 'predicted_rating': '2.75'}, 'GE5C_So1y00': {'user_rating': '1', 'predicted_rating': '3.75'}, '-tGUQGU9Gl4': {'user_rating': '5', 'predicted_rating': '4.0'}}",Conditional
31,16,5,0.25,31,"{'Gbz3Ao2xq_4': {'user_rating': '1', 'predicted_rating': '1.75'}, 'L3-q2GxAqZA': {'user_rating': '1', 'predicted_rating': '2.0'}, 'n-23Y4IygxM': {'user_rating': '5', 'predicted_rating': '3.0'}, 'xzjZy-dHHLw': {'user_rating': '5', 'predicted_rating': '3.25'}, 'qMePCtjeqB4': {'user_rating': '4', 'predicted_rating': '5.0'}}",Array
32,16,6,0.5,37,"{'TmM9XAIKa-Y': {'user_rating': '3', 'predicted_rating': '1.5'}, 'tCJZiHEpHbg': {'user_rating': '3', 'predicted_rating': '3.0'}, 'GE5C_So1y00': {'user_rating': '3', 'predicted_rating': '3.0'}, 'sk9xYje9XAQ': {'user_rating': '1', 'predicted_rating': '3.0'}, 'm2czL08d3lY': {'user_rating': '1', 'predicted_rating': '4.5'}}",Loops
33,16,7,0.5,28,"{'XHgC6Md8L9o': {'user_rating': '1', 'predicted_rating': '2.5'}, 'P6ivQ3QRq0I': {'user_rating': '5', 'predicted_rating': '2.5'}, '-tGUQGU9Gl4': {'user_rating': '5', 'predicted_rating': '3.0'}, 'GE5C_So1y00': {'user_rating': '1', 'predicted_rating': '3.5'}, 'yvWnj_HfG6s': {'user_rating': '4', 'predicted_rating': '3.5'}}",Conditional
34,16,8,0.5,23,"{'L3-q2GxAqZA': {'user_rating': '1', 'predicted_rating': '2.0'}, 'xzjZy-dHHLw': {'user_rating': '4', 'predicted_rating': '2.5'}, 'Gbz3Ao2xq_4': {'user_rating': '1', 'predicted_rating': '2.5'}, 'n-23Y4IygxM': {'user_rating': '5', 'predicted_rating': '3.0'}, 'qMePCtjeqB4': {'user_rating': '3', 'predicted_rating': '5.0'}}",Array
35,16,9,0.75,22,"{'TmM9XAIKa-Y': {'user_rating': '1', 'predicted_rating': '1.25'}, 'tCJZiHEpHbg': {'user_rating': '4', 'predicted_rating': '2.5'}, 'GE5C_So1y00': {'user_rating': '4', 'predicted_rating': '3.0'}, 'sk9xYje9XAQ': {'user_rating': '1', 'predicted_rating': '4.0'}, 'm2czL08d3lY': {'user_rating': '1', 'predicted_rating': '4.25'}}",Loops
